"ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP"
4738,POST,END,1511116587578591629
4739,POST,BEGIN,1511116588336003303
4739,POST,END,1511116588351468257
4740,POST,BEGIN,1511116589105062748
4740,POST,END,1511116589120358835
4741,POST,BEGIN,1511116589874125968
4741,POST,END,1511116589891399805
4742,POST,BEGIN,1511116590645982914
4742,POST,END,1511116590665006775
4743,POST,BEGIN,1511116591418832521
4743,POST,END,1511116591434524885
4744,POST,BEGIN,1511116592189353912
4744,POST,END,1511116592207323714
4745,POST,BEGIN,1511116592960143160
4745,POST,END,1511116592975304714
4746,POST,BEGIN,1511116593729047015
4746,POST,END,1511116593748113043
4747,POST,BEGIN,1511116594501839771
4747,POST,END,1511116594527939296
4748,POST,BEGIN,1511116595284050354
4748,POST,END,1511116595308262655
4749,POST,BEGIN,1511116596062075552
4749,POST,END,1511116596078732694
4750,POST,BEGIN,1511116596832439479
4750,POST,END,1511116596847547362
4751,POST,BEGIN,1511116597602218710
4751,POST,END,1511116597622282803
4752,POST,BEGIN,1511116598376202503
4752,POST,END,1511116598392032644
4753,POST,BEGIN,1511116599146017210
4753,POST,END,1511116599161218564
4754,POST,BEGIN,1511116599914756002
4754,POST,END,1511116599930475084
4755,POST,BEGIN,1511116600684205742
4755,POST,END,1511116600703017067
4756,POST,BEGIN,1511116601457012028
4756,POST,END,1511116601472224569
4757,POST,BEGIN,1511116602227118711
4757,POST,END,1511116602243082209
4758,POST,BEGIN,1511116602996157436
4758,POST,END,1511116603011239425
4759,POST,BEGIN,1511116603764830590
4759,POST,END,1511116603780753378
4760,POST,BEGIN,1511116604534399910
4760,POST,END,1511116604549788954
4761,POST,BEGIN,1511116605303828906
4761,POST,END,1511116605320025504
4762,POST,BEGIN,1511116606073509159
4762,POST,END,1511116606088928200
4763,POST,BEGIN,1511116606843091175
4763,POST,END,1511116606860088109
4764,POST,BEGIN,1511116607615502742
4764,POST,END,1511116607636990707
4765,POST,BEGIN,1511116608390489314
4765,POST,END,1511116608409116526
4766,POST,BEGIN,1511116609165012187
4766,POST,END,1511116609186980137
4767,POST,BEGIN,1511116609940298835
4767,POST,END,1511116609956537673
4768,POST,BEGIN,1511116610711057737
4768,POST,END,1511116610726621757
4769,POST,BEGIN,1511116611480209645
4769,POST,END,1511116611495242976
4770,POST,BEGIN,1511116612248958779
4770,POST,END,1511116612264866297
4771,POST,BEGIN,1511116613018159572
4771,POST,END,1511116613032833076
4772,POST,BEGIN,1511116613785925717
4772,POST,END,1511116613803559706
4773,POST,BEGIN,1511116614557017954
4773,POST,END,1511116614576674555
4774,POST,BEGIN,1511116615330356409
4774,POST,END,1511116615352092272
4775,POST,BEGIN,1511116616106519901
4775,POST,END,1511116616124422668
4776,POST,BEGIN,1511116616885585597
4776,POST,END,1511116616904204799
4777,POST,BEGIN,1511116617658163067
4777,POST,END,1511116617676854954
4778,POST,BEGIN,1511116618430809580
4778,POST,END,1511116618446021224
4779,POST,BEGIN,1511116619199981420
4779,POST,END,1511116619216383013
4780,POST,BEGIN,1511116619969596770
4780,POST,END,1511116620002753763
4781,POST,BEGIN,1511116620756955442
4781,POST,END,1511116620773908199
4782,POST,BEGIN,1511116621527979166
4782,POST,END,1511116621545584072
4783,POST,BEGIN,1511116622301038247
4783,POST,END,1511116622320022313
4784,POST,BEGIN,1511116623073197399
4784,POST,END,1511116623087770497
4785,POST,BEGIN,1511116623842048626
4785,POST,END,1511116623860808460
4786,POST,BEGIN,1511116624614468457
4786,POST,END,1511116624632553189
4787,POST,BEGIN,1511116625386364401
4787,POST,END,1511116625400609891
4788,POST,BEGIN,1511116626154163372
4788,POST,END,1511116626170976234
4789,POST,BEGIN,1511116626924974327
4789,POST,END,1511116626942030864
4790,POST,BEGIN,1511116627696477739
4790,POST,END,1511116627713238018
4791,POST,BEGIN,1511116628466031841
4791,POST,END,1511116628482786358
4792,POST,BEGIN,1511116629236520278
4792,POST,END,1511116629254448029
4793,POST,BEGIN,1511116630007913946
4793,POST,END,1511116630027296246
4794,POST,BEGIN,1511116630780947647
4794,POST,END,1511116630796261684
4795,POST,BEGIN,1511116631549827572
4795,POST,END,1511116631567394497
4796,POST,BEGIN,1511116632320891747
4796,POST,END,1511116632337301922
4797,POST,BEGIN,1511116633090945304
4797,POST,END,1511116633105855099
4798,POST,BEGIN,1511116633859645734
4798,POST,END,1511116633874193774
4799,POST,BEGIN,1511116634627829606
4799,POST,END,1511116634643623918
4800,POST,BEGIN,1511116635397286755
4800,POST,END,1511116635411369895
4801,POST,BEGIN,1511116636165003239
4801,POST,END,1511116636181115028
4802,POST,BEGIN,1511116636934238193
4802,POST,END,1511116636949847106
4803,POST,BEGIN,1511116637703369165
4803,POST,END,1511116637718252286
4804,POST,BEGIN,1511116638471861907
4804,POST,END,1511116638487823616
4805,POST,BEGIN,1511116639242906988
4805,POST,END,1511116639263484695
4806,POST,BEGIN,1511116640019900676
4806,POST,END,1511116640046244983
4807,POST,BEGIN,1511116640801947149
4807,POST,END,1511116640827517695
4808,POST,BEGIN,1511116641581691849
4808,POST,END,1511116641598549774
4809,POST,BEGIN,1511116642352580087
4809,POST,END,1511116642370231168
4810,POST,BEGIN,1511116643125582896
4810,POST,END,1511116643145490123
4811,POST,BEGIN,1511116643899323824
4811,POST,END,1511116643919403856
4812,POST,BEGIN,1511116644676762551
4812,POST,END,1511116644702496818
4813,POST,BEGIN,1511116645457348858
4813,POST,END,1511116645474466851
4814,POST,BEGIN,1511116646229425876
4814,POST,END,1511116646246705438
4815,POST,BEGIN,1511116647000565155
4815,POST,END,1511116647016342451
4816,POST,BEGIN,1511116647770105277
4816,POST,END,1511116647784548643
4817,POST,BEGIN,1511116648538337245
4817,POST,END,1511116648553799506
4818,POST,BEGIN,1511116649306719507
4818,POST,END,1511116649323670321
4819,POST,BEGIN,1511116650077695025
4819,POST,END,1511116650095328846
4820,POST,BEGIN,1511116650849632172
